"Repeat","ratio","theta","rho_A.l.","rho_I.l.","rho_Ah.l.","rho_Ih.l.","rho_Al.l.","rho_Il.l."
11,0.5,0.94,0.46,0.56,0.26,0.26,0.2,0.3
11,0.5,0.95,0.72,0.42,0.36,0.26,0.36,0.16
11,0.5,0.96,0.8,0.34,0.46,0.16,0.34,0.18
11,0.5,0.97,0.72,0.5,0.36,0.26,0.36,0.24
11,0.5,0.98,0.68,0.54,0.4,0.34,0.28,0.2
11,0.5,0.99,0.66,0.58,0.38,0.32,0.28,0.26
11,0.52,0.5,0.7,0.5,0.36,0.3,0.34,0.2
11,0.52,0.51,0.82,0.52,0.44,0.34,0.38,0.18
11,0.52,0.52,0.82,0.38,0.44,0.24,0.38,0.14
11,0.52,0.53,0.62,0.4,0.32,0.2,0.3,0.2
11,0.52,0.54,0.58,0.54,0.28,0.3,0.3,0.24
11,0.52,0.55,0.78,0.54,0.44,0.32,0.34,0.22
11,0.52,0.56,0.72,0.36,0.4,0.16,0.32,0.2
11,0.52,0.57,0.8,0.5,0.44,0.16,0.36,0.34
11,0.52,0.58,0.56,0.34,0.3,0.24,0.26,0.1
11,0.52,0.59,0.7,0.36,0.36,0.2,0.34,0.16
11,0.52,0.6,0.66,0.5,0.36,0.26,0.3,0.24
11,0.52,0.61,0.68,0.56,0.36,0.3,0.32,0.26
11,0.52,0.62,0.72,0.52,0.3,0.18,0.42,0.34
11,0.52,0.63,0.52,0.32,0.3,0.16,0.22,0.16
11,0.52,0.64,0.78,0.52,0.42,0.28,0.36,0.24
11,0.52,0.65,0.78,0.44,0.4,0.24,0.38,0.2
11,0.52,0.66,0.72,0.4,0.34,0.2,0.38,0.2
11,0.52,0.67,0.82,0.52,0.38,0.24,0.44,0.28
11,0.52,0.68,0.72,0.5,0.36,0.2,0.36,0.3
11,0.52,0.69,0.72,0.44,0.38,0.22,0.34,0.22
11,0.52,0.7,0.66,0.62,0.38,0.34,0.28,0.28
11,0.52,0.71,0.6,0.28,0.24,0.12,0.36,0.16
11,0.52,0.72,0.7,0.42,0.4,0.24,0.3,0.18
11,0.52,0.73,0.58,0.48,0.32,0.22,0.26,0.26
11,0.52,0.74,0.72,0.44,0.44,0.2,0.28,0.24
11,0.52,0.75,0.68,0.32,0.36,0.18,0.32,0.14
11,0.52,0.76,0.56,0.46,0.26,0.22,0.3,0.24
11,0.52,0.77,0.58,0.44,0.36,0.22,0.22,0.22
11,0.52,0.78,0.72,0.54,0.36,0.22,0.36,0.32
11,0.52,0.79,0.62,0.36,0.42,0.2,0.2,0.16
11,0.52,0.8,0.68,0.46,0.32,0.22,0.36,0.24
11,0.52,0.81,0.78,0.58,0.42,0.26,0.36,0.32
11,0.52,0.82,0.66,0.42,0.32,0.2,0.34,0.22
11,0.52,0.83,0.7,0.44,0.36,0.18,0.34,0.26
11,0.52,0.84,0.66,0.32,0.34,0.18,0.32,0.14
11,0.52,0.85,0.7,0.56,0.36,0.32,0.34,0.24
11,0.52,0.86,0.7,0.32,0.34,0.14,0.36,0.18
11,0.52,0.87,0.68,0.36,0.34,0.18,0.34,0.18
11,0.52,0.88,0.78,0.56,0.42,0.3,0.36,0.26
11,0.52,0.89,0.6,0.58,0.28,0.28,0.32,0.3
11,0.52,0.9,0.72,0.58,0.4,0.3,0.32,0.28
11,0.52,0.91,0.58,0.6,0.28,0.32,0.3,0.28
11,0.52,0.92,0.66,0.62,0.38,0.34,0.28,0.28
11,0.52,0.93,0.62,0.48,0.36,0.22,0.26,0.26
11,0.52,0.94,0.64,0.42,0.34,0.26,0.3,0.16
11,0.52,0.95,0.6,0.66,0.32,0.32,0.28,0.34
11,0.52,0.96,0.68,0.6,0.38,0.28,0.3,0.32
11,0.52,0.97,0.52,0.34,0.32,0.26,0.2,0.08
11,0.52,0.98,0.68,0.48,0.38,0.24,0.3,0.24
11,0.52,0.99,0.7,0.48,0.34,0.26,0.36,0.22
11,0.54,0.5,0.66,0.5,0.38,0.24,0.28,0.26
11,0.54,0.51,0.72,0.4,0.32,0.26,0.4,0.14
11,0.54,0.52,0.78,0.62,0.44,0.3,0.34,0.32
11,0.54,0.53,0.68,0.4,0.38,0.18,0.3,0.22
11,0.54,0.54,0.68,0.48,0.38,0.28,0.3,0.2
11,0.54,0.55,0.72,0.62,0.38,0.34,0.34,0.28
11,0.54,0.56,0.8,0.54,0.42,0.28,0.38,0.26
11,0.54,0.57,0.72,0.68,0.38,0.38,0.34,0.3
11,0.54,0.58,0.6,0.34,0.32,0.2,0.28,0.14
11,0.54,0.59,0.66,0.56,0.36,0.32,0.3,0.24
11,0.54,0.6,0.68,0.5,0.4,0.28,0.28,0.22
11,0.54,0.61,0.66,0.6,0.34,0.32,0.32,0.28
11,0.54,0.62,0.64,0.62,0.36,0.38,0.28,0.24
11,0.54,0.63,0.5,0.56,0.2,0.38,0.3,0.18
11,0.54,0.64,0.7,0.42,0.38,0.28,0.32,0.14
11,0.54,0.65,0.78,0.5,0.44,0.22,0.34,0.28
11,0.54,0.66,0.78,0.6,0.46,0.32,0.32,0.28
11,0.54,0.67,0.64,0.38,0.32,0.28,0.32,0.1
11,0.54,0.68,0.74,0.38,0.38,0.2,0.36,0.18
11,0.54,0.69,0.7,0.44,0.44,0.24,0.26,0.2
11,0.54,0.7,0.76,0.44,0.42,0.28,0.34,0.16
11,0.54,0.71,0.72,0.52,0.4,0.24,0.32,0.28
11,0.54,0.72,0.72,0.32,0.42,0.18,0.3,0.14
11,0.54,0.73,0.72,0.52,0.42,0.3,0.3,0.22
11,0.54,0.74,0.76,0.38,0.4,0.26,0.36,0.12
11,0.54,0.75,0.72,0.44,0.42,0.26,0.3,0.18
11,0.54,0.76,0.54,0.42,0.38,0.16,0.16,0.26
11,0.54,0.77,0.76,0.56,0.44,0.26,0.32,0.3
11,0.54,0.78,0.76,0.42,0.44,0.24,0.32,0.18
11,0.54,0.79,0.78,0.7,0.42,0.34,0.36,0.36
11,0.54,0.8,0.56,0.54,0.3,0.18,0.26,0.36
11,0.54,0.81,0.74,0.5,0.36,0.24,0.38,0.26
11,0.54,0.82,0.6,0.46,0.4,0.24,0.2,0.22
11,0.54,0.83,0.72,0.44,0.44,0.24,0.28,0.2
11,0.54,0.84,0.7,0.54,0.48,0.32,0.22,0.22
11,0.54,0.85,0.76,0.58,0.46,0.26,0.3,0.32
11,0.54,0.86,0.76,0.5,0.4,0.24,0.36,0.26
11,0.54,0.87,0.76,0.46,0.46,0.28,0.3,0.18
11,0.54,0.88,0.72,0.56,0.36,0.24,0.36,0.32
11,0.54,0.89,0.58,0.46,0.38,0.26,0.2,0.2
11,0.54,0.9,0.68,0.5,0.4,0.26,0.28,0.24
11,0.54,0.91,0.62,0.44,0.36,0.24,0.26,0.2
11,0.54,0.92,0.6,0.28,0.34,0.16,0.26,0.12
11,0.54,0.93,0.6,0.46,0.34,0.2,0.26,0.26
11,0.54,0.94,0.76,0.46,0.46,0.28,0.3,0.18
11,0.54,0.95,0.74,0.5,0.4,0.22,0.34,0.28
11,0.54,0.96,0.72,0.28,0.4,0.12,0.32,0.16
11,0.54,0.97,0.48,0.58,0.3,0.28,0.18,0.3
11,0.54,0.98,0.56,0.44,0.36,0.24,0.2,0.2
11,0.54,0.99,0.88,0.56,0.5,0.32,0.38,0.24
11,0.56,0.5,0.64,0.4,0.34,0.2,0.3,0.2
11,0.56,0.51,0.52,0.52,0.28,0.32,0.24,0.2
11,0.56,0.52,0.74,0.6,0.44,0.38,0.3,0.22
11,0.56,0.53,0.72,0.5,0.44,0.32,0.28,0.18
11,0.56,0.54,0.72,0.6,0.46,0.36,0.26,0.24
11,0.56,0.55,0.78,0.42,0.5,0.28,0.28,0.14
11,0.56,0.56,0.6,0.34,0.4,0.24,0.2,0.1
11,0.56,0.57,0.76,0.62,0.46,0.34,0.3,0.28
11,0.56,0.58,0.6,0.56,0.36,0.32,0.24,0.24
11,0.56,0.59,0.82,0.46,0.44,0.22,0.38,0.24
11,0.56,0.6,0.66,0.4,0.4,0.22,0.26,0.18
11,0.56,0.61,0.68,0.48,0.42,0.2,0.26,0.28
11,0.56,0.62,0.52,0.44,0.32,0.28,0.2,0.16
11,0.56,0.63,0.58,0.46,0.34,0.28,0.24,0.18
11,0.56,0.64,0.76,0.42,0.44,0.18,0.32,0.24
11,0.56,0.65,0.56,0.38,0.32,0.22,0.24,0.16
11,0.56,0.66,0.74,0.48,0.44,0.3,0.3,0.18
11,0.56,0.67,0.74,0.54,0.42,0.36,0.32,0.18
11,0.56,0.68,0.82,0.48,0.5,0.3,0.32,0.18
11,0.56,0.69,0.7,0.58,0.36,0.3,0.34,0.28
11,0.56,0.7,0.66,0.36,0.34,0.18,0.32,0.18
11,0.56,0.71,0.68,0.48,0.36,0.3,0.32,0.18
11,0.56,0.72,0.7,0.48,0.42,0.28,0.28,0.2
11,0.56,0.73,0.68,0.5,0.38,0.26,0.3,0.24
11,0.56,0.74,0.7,0.42,0.4,0.28,0.3,0.14
11,0.56,0.75,0.66,0.44,0.4,0.28,0.26,0.16
11,0.56,0.76,0.66,0.38,0.4,0.14,0.26,0.24
11,0.56,0.77,0.6,0.38,0.36,0.22,0.24,0.16
11,0.56,0.78,0.68,0.5,0.42,0.34,0.26,0.16
11,0.56,0.79,0.66,0.6,0.4,0.38,0.26,0.22
11,0.56,0.8,0.62,0.62,0.38,0.38,0.24,0.24
11,0.56,0.81,0.8,0.5,0.44,0.28,0.36,0.22
11,0.56,0.82,0.64,0.44,0.38,0.22,0.26,0.22
11,0.56,0.83,0.72,0.58,0.42,0.38,0.3,0.2
11,0.56,0.84,0.78,0.38,0.46,0.16,0.32,0.22
11,0.56,0.85,0.76,0.48,0.46,0.2,0.3,0.28
11,0.56,0.86,0.66,0.58,0.42,0.36,0.24,0.22
11,0.56,0.87,0.68,0.58,0.42,0.3,0.26,0.28
11,0.56,0.88,0.64,0.58,0.44,0.36,0.2,0.22
11,0.56,0.89,0.68,0.62,0.44,0.34,0.24,0.28
11,0.56,0.9,0.58,0.56,0.38,0.3,0.2,0.26
11,0.56,0.91,0.66,0.54,0.4,0.28,0.26,0.26
11,0.56,0.92,0.62,0.44,0.4,0.24,0.22,0.2
11,0.56,0.93,0.7,0.46,0.42,0.26,0.28,0.2
11,0.56,0.94,0.52,0.4,0.26,0.22,0.26,0.18
11,0.56,0.95,0.6,0.6,0.36,0.36,0.24,0.24
11,0.56,0.96,0.7,0.54,0.4,0.3,0.3,0.24
11,0.56,0.97,0.72,0.46,0.44,0.28,0.28,0.18
11,0.56,0.98,0.64,0.46,0.38,0.28,0.26,0.18
11,0.56,0.99,0.72,0.44,0.44,0.26,0.28,0.18
11,0.58,0.5,0.72,0.42,0.44,0.24,0.28,0.18
11,0.58,0.51,0.64,0.48,0.34,0.3,0.3,0.18
11,0.58,0.52,0.54,0.46,0.32,0.28,0.22,0.18
11,0.58,0.53,0.62,0.46,0.4,0.38,0.22,0.08
11,0.58,0.54,0.6,0.5,0.28,0.22,0.32,0.28
11,0.58,0.55,0.72,0.28,0.44,0.16,0.28,0.12
11,0.58,0.56,0.6,0.6,0.36,0.36,0.24,0.24
11,0.58,0.57,0.64,0.6,0.42,0.34,0.22,0.26
11,0.58,0.58,0.72,0.38,0.46,0.22,0.26,0.16
11,0.58,0.59,0.76,0.42,0.44,0.22,0.32,0.2
11,0.58,0.6,0.64,0.5,0.38,0.32,0.26,0.18
11,0.58,0.61,0.76,0.48,0.46,0.24,0.3,0.24
11,0.58,0.62,0.58,0.68,0.32,0.36,0.26,0.32
11,0.58,0.63,0.7,0.48,0.44,0.28,0.26,0.2
11,0.58,0.64,0.72,0.32,0.42,0.18,0.3,0.14
11,0.58,0.65,0.72,0.58,0.44,0.4,0.28,0.18
11,0.58,0.66,0.8,0.44,0.48,0.26,0.32,0.18
11,0.58,0.67,0.62,0.3,0.38,0.16,0.24,0.14
11,0.58,0.68,0.76,0.4,0.46,0.24,0.3,0.16
11,0.58,0.69,0.64,0.22,0.4,0.14,0.24,0.08
11,0.58,0.7,0.8,0.58,0.46,0.34,0.34,0.24
11,0.58,0.71,0.72,0.78,0.46,0.44,0.26,0.34
11,0.58,0.72,0.74,0.38,0.42,0.26,0.32,0.12
11,0.58,0.73,0.7,0.48,0.4,0.26,0.3,0.22
11,0.58,0.74,0.44,0.36,0.32,0.2,0.12,0.16
11,0.58,0.75,0.58,0.34,0.38,0.22,0.2,0.12
11,0.58,0.76,0.88,0.48,0.54,0.34,0.34,0.14
11,0.58,0.77,0.78,0.56,0.54,0.26,0.24,0.3
11,0.58,0.78,0.66,0.38,0.44,0.16,0.22,0.22
11,0.58,0.79,0.68,0.5,0.44,0.24,0.24,0.26
11,0.58,0.8,0.68,0.48,0.4,0.3,0.28,0.18
11,0.58,0.81,0.66,0.32,0.44,0.22,0.22,0.1
11,0.58,0.82,0.74,0.48,0.44,0.26,0.3,0.22
11,0.58,0.83,0.62,0.52,0.4,0.28,0.22,0.24
11,0.58,0.84,0.7,0.58,0.46,0.32,0.24,0.26
11,0.58,0.85,0.68,0.5,0.4,0.3,0.28,0.2
11,0.58,0.86,0.74,0.46,0.44,0.34,0.3,0.12
11,0.58,0.87,0.58,0.44,0.4,0.3,0.18,0.14
11,0.58,0.88,0.62,0.5,0.4,0.28,0.22,0.22
11,0.58,0.89,0.68,0.36,0.44,0.22,0.24,0.14
11,0.58,0.9,0.66,0.68,0.38,0.42,0.28,0.26
11,0.58,0.91,0.84,0.62,0.46,0.34,0.38,0.28
11,0.58,0.92,0.74,0.5,0.44,0.3,0.3,0.2
11,0.58,0.93,0.7,0.48,0.44,0.24,0.26,0.24
11,0.58,0.94,0.64,0.48,0.44,0.36,0.2,0.12
11,0.58,0.95,0.66,0.54,0.38,0.28,0.28,0.26
11,0.58,0.96,0.78,0.68,0.48,0.42,0.3,0.26
11,0.58,0.97,0.78,0.48,0.48,0.3,0.3,0.18
11,0.58,0.98,0.6,0.44,0.38,0.26,0.22,0.18
11,0.58,0.99,0.68,0.5,0.4,0.3,0.28,0.2
11,0.6,0.5,0.6,0.42,0.32,0.22,0.28,0.2
11,0.6,0.51,0.66,0.58,0.36,0.36,0.3,0.22
11,0.6,0.52,0.62,0.42,0.4,0.26,0.22,0.16
11,0.6,0.53,0.68,0.66,0.4,0.44,0.28,0.22
11,0.6,0.54,0.66,0.38,0.44,0.26,0.22,0.12
11,0.6,0.55,0.74,0.34,0.48,0.18,0.26,0.16
11,0.6,0.56,0.64,0.54,0.42,0.32,0.22,0.22
11,0.6,0.57,0.74,0.52,0.46,0.32,0.28,0.2
11,0.6,0.58,0.76,0.4,0.48,0.24,0.28,0.16
11,0.6,0.59,0.7,0.58,0.36,0.32,0.34,0.26
11,0.6,0.6,0.7,0.48,0.46,0.38,0.24,0.1
11,0.6,0.61,0.5,0.3,0.24,0.18,0.26,0.12
11,0.6,0.62,0.76,0.56,0.48,0.32,0.28,0.24
11,0.6,0.63,0.66,0.52,0.46,0.28,0.2,0.24
11,0.6,0.64,0.66,0.46,0.36,0.3,0.3,0.16
11,0.6,0.65,0.54,0.46,0.34,0.34,0.2,0.12
11,0.6,0.66,0.72,0.52,0.46,0.36,0.26,0.16
11,0.6,0.67,0.78,0.56,0.54,0.38,0.24,0.18
11,0.6,0.68,0.58,0.64,0.32,0.44,0.26,0.2
11,0.6,0.69,0.7,0.52,0.36,0.3,0.34,0.22
11,0.6,0.7,0.78,0.44,0.5,0.28,0.28,0.16
11,0.6,0.71,0.72,0.46,0.4,0.28,0.32,0.18
11,0.6,0.72,0.58,0.6,0.4,0.4,0.18,0.2
11,0.6,0.73,0.7,0.54,0.48,0.34,0.22,0.2
11,0.6,0.74,0.64,0.46,0.42,0.26,0.22,0.2
11,0.6,0.75,0.74,0.44,0.44,0.26,0.3,0.18
11,0.6,0.76,0.64,0.36,0.4,0.22,0.24,0.14
11,0.6,0.77,0.72,0.54,0.44,0.3,0.28,0.24
11,0.6,0.78,0.78,0.38,0.48,0.18,0.3,0.2
11,0.6,0.79,0.76,0.32,0.5,0.12,0.26,0.2
11,0.6,0.8,0.6,0.52,0.36,0.3,0.24,0.22
11,0.6,0.81,0.72,0.46,0.44,0.24,0.28,0.22
11,0.6,0.82,0.6,0.48,0.4,0.3,0.2,0.18
11,0.6,0.83,0.68,0.38,0.44,0.28,0.24,0.1
11,0.6,0.84,0.6,0.54,0.4,0.36,0.2,0.18
11,0.6,0.85,0.56,0.48,0.38,0.28,0.18,0.2
11,0.6,0.86,0.72,0.52,0.42,0.28,0.3,0.24
11,0.6,0.87,0.62,0.46,0.4,0.32,0.22,0.14
11,0.6,0.88,0.68,0.52,0.48,0.26,0.2,0.26
11,0.6,0.89,0.78,0.34,0.5,0.18,0.28,0.16
11,0.6,0.9,0.68,0.38,0.42,0.2,0.26,0.18
11,0.6,0.91,0.78,0.32,0.48,0.18,0.3,0.14
11,0.6,0.92,0.7,0.44,0.4,0.26,0.3,0.18
11,0.6,0.93,0.64,0.48,0.42,0.26,0.22,0.22
11,0.6,0.94,0.68,0.5,0.46,0.32,0.22,0.18
11,0.6,0.95,0.64,0.5,0.4,0.3,0.24,0.2
11,0.6,0.96,0.64,0.34,0.34,0.2,0.3,0.14
11,0.6,0.97,0.6,0.46,0.38,0.32,0.22,0.14
11,0.6,0.98,0.68,0.62,0.44,0.3,0.24,0.32
11,0.6,0.99,0.62,0.32,0.38,0.18,0.24,0.14
11,0.62,0.5,0.62,0.3,0.34,0.18,0.28,0.12
11,0.62,0.51,0.7,0.56,0.4,0.32,0.3,0.24
11,0.62,0.52,0.68,0.46,0.46,0.28,0.22,0.18
11,0.62,0.53,0.78,0.46,0.5,0.26,0.28,0.2
11,0.62,0.54,0.56,0.56,0.34,0.34,0.22,0.22
11,0.62,0.55,0.68,0.34,0.4,0.22,0.28,0.12
11,0.62,0.56,0.76,0.52,0.44,0.34,0.32,0.18
11,0.62,0.57,0.8,0.5,0.54,0.26,0.26,0.24
11,0.62,0.58,0.64,0.38,0.38,0.26,0.26,0.12
11,0.62,0.59,0.86,0.48,0.54,0.28,0.32,0.2
11,0.62,0.6,0.72,0.42,0.44,0.26,0.28,0.16
11,0.62,0.61,0.72,0.6,0.48,0.4,0.24,0.2
11,0.62,0.62,0.68,0.36,0.42,0.22,0.26,0.14
11,0.62,0.63,0.82,0.66,0.48,0.4,0.34,0.26
11,0.62,0.64,0.62,0.32,0.34,0.22,0.28,0.1
11,0.62,0.65,0.64,0.62,0.42,0.36,0.22,0.26
11,0.62,0.66,0.74,0.48,0.44,0.28,0.3,0.2
11,0.62,0.67,0.68,0.52,0.44,0.32,0.24,0.2
11,0.62,0.68,0.7,0.5,0.46,0.32,0.24,0.18
11,0.62,0.69,0.76,0.44,0.52,0.3,0.24,0.14
11,0.62,0.7,0.56,0.44,0.34,0.28,0.22,0.16
11,0.62,0.71,0.68,0.54,0.4,0.34,0.28,0.2
11,0.62,0.72,0.78,0.44,0.52,0.32,0.26,0.12
11,0.62,0.73,0.64,0.56,0.4,0.32,0.24,0.24
11,0.62,0.74,0.76,0.4,0.46,0.24,0.3,0.16
11,0.62,0.75,0.68,0.52,0.44,0.32,0.24,0.2
11,0.62,0.76,0.78,0.34,0.48,0.24,0.3,0.1
11,0.62,0.77,0.72,0.58,0.5,0.36,0.22,0.22
11,0.62,0.78,0.68,0.44,0.48,0.28,0.2,0.16
11,0.62,0.79,0.2,0,0.14,0,0.06,0
11,0.62,0.8,0.64,0.54,0.38,0.34,0.26,0.2
11,0.62,0.81,0.66,0.56,0.44,0.32,0.22,0.24
11,0.62,0.82,0.68,0.54,0.4,0.3,0.28,0.24
11,0.62,0.83,0.62,0.34,0.4,0.18,0.22,0.16
11,0.62,0.84,0.56,0.42,0.36,0.24,0.2,0.18
11,0.62,0.85,0.58,0.68,0.34,0.42,0.24,0.26
11,0.62,0.86,0.6,0.38,0.46,0.26,0.14,0.12
11,0.62,0.87,0.7,0.58,0.46,0.38,0.24,0.2
11,0.62,0.88,0.64,0.5,0.46,0.32,0.18,0.18
11,0.62,0.89,0.8,0.4,0.5,0.24,0.3,0.16
11,0.62,0.9,0.8,0.44,0.48,0.28,0.32,0.16
11,0.62,0.91,0.5,0.48,0.32,0.28,0.18,0.2
11,0.62,0.92,0.6,0.38,0.42,0.24,0.18,0.14
11,0.62,0.93,0.78,0.54,0.48,0.32,0.3,0.22
11,0.62,0.94,0.64,0.46,0.4,0.24,0.24,0.22
11,0.62,0.95,0.76,0.34,0.5,0.24,0.26,0.1
11,0.62,0.96,0.62,0.46,0.4,0.28,0.22,0.18
11,0.62,0.97,0.62,0.62,0.34,0.34,0.28,0.28
11,0.62,0.98,0.8,0.52,0.48,0.32,0.32,0.2
11,0.62,0.99,0.62,0.44,0.44,0.3,0.18,0.14
11,0.64,0.5,0.68,0.46,0.42,0.28,0.26,0.18
11,0.64,0.51,0.66,0.64,0.4,0.4,0.26,0.24
11,0.64,0.52,0.76,0.42,0.5,0.26,0.26,0.16
11,0.64,0.53,0.66,0.34,0.38,0.24,0.28,0.1
11,0.64,0.54,0.76,0.58,0.48,0.36,0.28,0.22
11,0.64,0.55,0.66,0.38,0.4,0.32,0.26,0.06
11,0.64,0.56,0.54,0.58,0.38,0.38,0.16,0.2
11,0.64,0.57,0.52,0.32,0.3,0.24,0.22,0.08
11,0.64,0.58,0.68,0.54,0.42,0.34,0.26,0.2
11,0.64,0.59,0.7,0.52,0.44,0.34,0.26,0.18
11,0.64,0.6,0.72,0.42,0.46,0.26,0.26,0.16
11,0.64,0.61,0.58,0.5,0.36,0.32,0.22,0.18
11,0.64,0.62,0.78,0.56,0.46,0.36,0.32,0.2
11,0.64,0.63,0.66,0.48,0.38,0.22,0.28,0.26
11,0.64,0.64,0.68,0.4,0.46,0.22,0.22,0.18
11,0.64,0.65,0.7,0.42,0.42,0.26,0.28,0.16
11,0.64,0.66,0.76,0.54,0.46,0.34,0.3,0.2
11,0.64,0.67,0.76,0.48,0.52,0.34,0.24,0.14
11,0.64,0.68,0.7,0.5,0.4,0.24,0.3,0.26
11,0.64,0.69,0.7,0.42,0.44,0.26,0.26,0.16
11,0.64,0.7,0.66,0.48,0.44,0.24,0.22,0.24
11,0.64,0.71,0.78,0.44,0.46,0.24,0.32,0.2
11,0.64,0.72,0.66,0.5,0.42,0.28,0.24,0.22
11,0.64,0.73,0.74,0.5,0.5,0.34,0.24,0.16
11,0.64,0.74,0.88,0.44,0.6,0.28,0.28,0.16
11,0.64,0.75,0.66,0.36,0.44,0.18,0.22,0.18
11,0.64,0.76,0.66,0.36,0.44,0.2,0.22,0.16
11,0.64,0.77,0.62,0.28,0.36,0.16,0.26,0.12
11,0.64,0.78,0.78,0.4,0.48,0.22,0.3,0.18
11,0.64,0.79,0.64,0.4,0.44,0.28,0.2,0.12
11,0.64,0.8,0.74,0.62,0.5,0.38,0.24,0.24
11,0.64,0.81,0.72,0.62,0.46,0.4,0.26,0.22
11,0.64,0.82,0.74,0.36,0.52,0.18,0.22,0.18
11,0.64,0.83,0.64,0.44,0.42,0.36,0.22,0.08
11,0.64,0.84,0.62,0.46,0.42,0.26,0.2,0.2
11,0.64,0.85,0.76,0.54,0.54,0.34,0.22,0.2
11,0.64,0.86,0.74,0.62,0.52,0.36,0.22,0.26
11,0.64,0.87,0.68,0.44,0.5,0.36,0.18,0.08
11,0.64,0.88,0.66,0.44,0.46,0.24,0.2,0.2
11,0.64,0.89,0.68,0.52,0.44,0.38,0.24,0.14
11,0.64,0.9,0.62,0.44,0.38,0.26,0.24,0.18
11,0.64,0.91,0.78,0.42,0.48,0.24,0.3,0.18
11,0.64,0.92,0.6,0.52,0.4,0.34,0.2,0.18
11,0.64,0.93,0.64,0.6,0.4,0.44,0.24,0.16
11,0.64,0.94,0.62,0.42,0.44,0.3,0.18,0.12
11,0.64,0.95,0.72,0.54,0.5,0.36,0.22,0.18
11,0.64,0.96,0.7,0.6,0.46,0.32,0.24,0.28
11,0.64,0.97,0.64,0.58,0.42,0.42,0.22,0.16
11,0.64,0.98,0.66,0.44,0.42,0.26,0.24,0.18
11,0.64,0.99,0.88,0.46,0.54,0.24,0.34,0.22
11,0.66,0.5,0.76,0.46,0.48,0.26,0.28,0.2
11,0.66,0.51,0.52,0.42,0.28,0.24,0.24,0.18
11,0.66,0.52,0.68,0.36,0.48,0.26,0.2,0.1
11,0.66,0.53,0.64,0.46,0.4,0.28,0.24,0.18
11,0.66,0.54,0.54,0.42,0.36,0.22,0.18,0.2
11,0.66,0.55,0.7,0.5,0.46,0.3,0.24,0.2
11,0.66,0.56,0.78,0.5,0.54,0.34,0.24,0.16
11,0.66,0.57,0.6,0.34,0.42,0.24,0.18,0.1
11,0.66,0.58,0.86,0.6,0.56,0.36,0.3,0.24
11,0.66,0.59,0.54,0.3,0.4,0.18,0.14,0.12
11,0.66,0.6,0.6,0.5,0.4,0.32,0.2,0.18
11,0.66,0.61,0.72,0.54,0.48,0.36,0.24,0.18
11,0.66,0.62,0.6,0.58,0.38,0.38,0.22,0.2
11,0.66,0.63,0.78,0.58,0.5,0.4,0.28,0.18
11,0.66,0.64,0.68,0.38,0.44,0.22,0.24,0.16
11,0.66,0.65,0.76,0.38,0.52,0.32,0.24,0.06
11,0.66,0.66,0.82,0.5,0.56,0.3,0.26,0.2
11,0.66,0.67,0.54,0.44,0.34,0.3,0.2,0.14
11,0.66,0.68,0.6,0.42,0.4,0.26,0.2,0.16
11,0.66,0.69,0.68,0.58,0.46,0.32,0.22,0.26
11,0.66,0.7,0.62,0.38,0.38,0.18,0.24,0.2
11,0.66,0.71,0.74,0.58,0.48,0.38,0.26,0.2
11,0.66,0.72,0.68,0.46,0.48,0.26,0.2,0.2
11,0.66,0.73,0.84,0.38,0.6,0.26,0.24,0.12
11,0.66,0.74,0.68,0.5,0.44,0.28,0.24,0.22
11,0.66,0.75,0.66,0.64,0.38,0.38,0.28,0.26
11,0.66,0.76,0.62,0.46,0.4,0.24,0.22,0.22
11,0.66,0.77,0.78,0.62,0.54,0.42,0.24,0.2
11,0.66,0.78,0.76,0.26,0.52,0.2,0.24,0.06
11,0.66,0.79,0.58,0.56,0.46,0.36,0.12,0.2
11,0.66,0.8,0.68,0.44,0.46,0.3,0.22,0.14
11,0.66,0.81,0.68,0.48,0.48,0.3,0.2,0.18
11,0.66,0.82,0.66,0.44,0.5,0.24,0.16,0.2
11,0.66,0.83,0.72,0.58,0.48,0.4,0.24,0.18
11,0.66,0.84,0.66,0.26,0.44,0.2,0.22,0.06
11,0.66,0.85,0.78,0.4,0.52,0.3,0.26,0.1
11,0.66,0.86,0.64,0.42,0.52,0.32,0.12,0.1
11,0.66,0.87,0.72,0.44,0.48,0.3,0.24,0.14
11,0.66,0.88,0.8,0.46,0.46,0.3,0.34,0.16
11,0.66,0.89,0.52,0.56,0.32,0.36,0.2,0.2
11,0.66,0.9,0.74,0.26,0.48,0.18,0.26,0.08
11,0.66,0.91,0.7,0.52,0.46,0.38,0.24,0.14
11,0.66,0.92,0.8,0.62,0.56,0.38,0.24,0.24
11,0.66,0.93,0.5,0.4,0.34,0.24,0.16,0.16
11,0.66,0.94,0.76,0.5,0.48,0.32,0.28,0.18
11,0.66,0.95,0.74,0.5,0.5,0.34,0.24,0.16
11,0.66,0.96,0.74,0.52,0.56,0.3,0.18,0.22
11,0.66,0.97,0.7,0.66,0.52,0.38,0.18,0.28
11,0.66,0.98,0.7,0.42,0.5,0.28,0.2,0.14
11,0.66,0.99,0.72,0.44,0.5,0.3,0.22,0.14
11,0.68,0.5,0.56,0.58,0.36,0.44,0.2,0.14
11,0.68,0.51,0.66,0.64,0.42,0.44,0.24,0.2
11,0.68,0.52,0.72,0.6,0.5,0.38,0.22,0.22
